fact_table_natural_key,accm_txn_complete_time
R18649,2022-05-14 00:29:14
R22801,2022-05-14 07:47:50
R19558,2022-05-14 16:11:17
R63832,2022-05-15 17:11:07
R57157,2022-05-14 20:24:53
R55057,2022-05-15 20:25:37
R49873,2022-05-14 17:06:35
R12256,2022-05-15 05:24:27
R56769,2022-05-15 10:25:13
R30853,2022-05-14 05:53:59
R66282,2022-05-14 11:20:41
R11699,2022-05-14 17:29:45
R58426,2022-05-15 09:34:36
R66260,2022-05-15 12:15:06
R19818,2022-05-15 19:11:07
R10411,2022-05-14 16:33:40
R86621,2022-05-14 13:47:31
R70188,2022-05-14 18:08:54
R75787,2022-05-14 12:43:15
R78245,2022-05-15 07:34:13
R72434,2022-05-14 17:03:09
R60057,2022-05-14 00:05:00
R64945,2022-05-14 13:24:17
R12668,2022-05-15 07:40:05
R87431,2022-05-14 05:41:34
R21824,2022-05-15 11:53:05
R57462,2022-05-14 10:50:23
R26585,2022-05-15 09:20:36
R51226,2022-05-14 18:59:27
R75044,2022-05-15 00:11:40
R68044,2022-05-14 18:27:24
R17825,2022-05-15 05:17:14
R75493,2022-05-15 06:20:19
R59324,2022-05-15 12:06:51
R31730,2022-05-14 04:06:04
R30199,2022-05-15 00:56:30
R42210,2022-05-14 11:42:26
R77612,2022-05-15 12:58:45
R30869,2022-05-14 10:23:02
R86983,2022-05-14 22:51:11
R64825,2022-05-14 01:10:40
R76662,2022-05-14 18:12:52
R61036,2022-05-14 21:25:14
R12047,2022-05-14 01:36:12
R36296,2022-05-15 16:15:10
R89128,2022-05-14 07:11:59
R20645,2022-05-15 02:51:13
R71272,2022-05-14 08:48:29
R33324,2022-05-14 21:59:42
R85684,2022-05-15 06:00:02
R32712,2022-05-15 00:47:58
R68509,2022-05-15 12:32:09
R64394,2022-05-15 12:18:09
R21283,2022-05-15 23:31:06
R25510,2022-05-15 21:01:42
R60862,2022-05-15 14:38:14
R73397,2022-05-14 00:01:40
R27821,2022-05-15 11:55:06
R84448,2022-05-14 14:42:22
R26719,2022-05-15 03:07:09
R78736,2022-05-14 14:01:26
R50368,2022-05-14 00:48:13
R88305,2022-05-14 05:02:22
R38345,2022-05-14 20:38:59
R56286,2022-05-14 04:52:28
R46764,2022-05-14 03:40:43
R52368,2022-05-15 03:25:53
R15974,2022-05-15 06:52:36
R61919,2022-05-14 21:03:45
R78310,2022-05-14 21:22:54
R50984,2022-05-15 17:57:49
R45361,2022-05-15 09:51:53
R83663,2022-05-15 19:19:59
R25324,2022-05-15 09:36:50
R51443,2022-05-14 18:43:30
R58905,2022-05-14 12:00:05
R41530,2022-05-15 11:41:10
R87828,2022-05-14 06:41:29
R77169,2022-05-15 06:26:24
R47612,2022-05-14 10:38:41
R33745,2022-05-15 10:12:57
R10554,2022-05-15 08:11:49
R64821,2022-05-15 20:05:40
R59777,2022-05-14 12:43:29
R15943,2022-05-15 14:59:59
R26732,2022-05-14 07:16:27
R15764,2022-05-15 11:34:57
R39754,2022-05-14 08:25:59
R84918,2022-05-15 06:40:07
R41508,2022-05-15 04:53:03
R33615,2022-05-14 15:55:04
R51030,2022-05-15 19:32:34
R64493,2022-05-15 02:02:39
R49545,2022-05-14 11:39:28
R62199,2022-05-14 04:39:21
R20779,2022-05-14 04:59:06
R62329,2022-05-15 04:18:03
R62551,2022-05-15 06:13:11
R64602,2022-05-15 14:46:41
R16409,2022-05-15 21:59:18
R46036,2022-05-14 11:36:53
R16257,2022-05-15 22:39:14
R60543,2022-05-14 22:52:08
R25229,2022-05-15 09:15:55
R20028,2022-05-14 19:14:07
R38350,2022-05-14 23:44:00
R59704,2022-05-14 20:14:07
R33865,2022-05-15 03:27:41
R42236,2022-05-14 07:52:11
R56988,2022-05-15 18:28:07
R19511,2022-05-15 02:45:05
R74468,2022-05-15 20:04:48
R13823,2022-05-14 11:06:42
R81268,2022-05-14 10:53:27
R32060,2022-05-14 02:09:47
R54336,2022-05-15 19:51:07
R58459,2022-05-14 23:26:01
R61168,2022-05-14 08:10:34
R84955,2022-05-14 08:04:45
R35792,2022-05-15 13:31:24
R29721,2022-05-15 20:25:23
R47978,2022-05-15 03:23:51
R14329,2022-05-15 19:34:21
R38504,2022-05-15 16:19:48
R26377,2022-05-15 06:23:49
R78634,2022-05-15 12:01:06
R70187,2022-05-14 22:25:15
R51437,2022-05-14 17:01:23
R21064,2022-05-15 12:55:38
R35419,2022-05-14 02:42:48
R75327,2022-05-14 23:20:23
R52735,2022-05-14 05:30:55
R22560,2022-05-14 02:18:17
R87555,2022-05-15 08:32:24
R69182,2022-05-15 20:45:56
R55750,2022-05-14 23:21:49
R84121,2022-05-14 00:30:56
R76923,2022-05-15 16:21:56
R29247,2022-05-15 00:32:41
R22368,2022-05-14 19:34:00
R56455,2022-05-14 18:29:45
R23726,2022-05-15 23:03:30
R50905,2022-05-15 12:44:33
R58978,2022-05-15 12:36:03
R35025,2022-05-15 23:40:07
R39623,2022-05-14 06:44:04
R30117,2022-05-14 04:16:13
R62554,2022-05-15 17:44:43
R30769,2022-05-15 14:37:57
R27443,2022-05-14 12:31:14
R50449,2022-05-14 07:46:35
R25441,2022-05-14 22:03:11
R46911,2022-05-14 19:09:32
R23183,2022-05-15 04:31:02
R40967,2022-05-14 01:43:49
R53484,2022-05-14 15:38:26
R15219,2022-05-14 08:22:13
R18875,2022-05-14 05:20:06
R84716,2022-05-14 20:20:01
R31720,2022-05-15 14:31:12
R75490,2022-05-14 18:45:03
R57453,2022-05-15 03:53:07
R71765,2022-05-15 08:51:32
R73250,2022-05-15 21:51:07
R15924,2022-05-15 17:55:17
R76421,2022-05-15 16:34:22
R19388,2022-05-14 09:20:25
R84258,2022-05-15 05:29:56
R56639,2022-05-15 17:48:16
R73361,2022-05-15 09:34:50
R12430,2022-05-14 22:37:35
R59876,2022-05-15 18:39:18
R86956,2022-05-14 19:25:26
R85936,2022-05-14 02:02:21
R88926,2022-05-14 06:52:07
R44786,2022-05-14 09:13:22
R18964,2022-05-15 20:22:39
R32387,2022-05-15 18:02:30
R22153,2022-05-15 07:18:27
R73830,2022-05-14 01:46:49
R84726,2022-05-15 11:01:26
R14120,2022-05-15 20:26:51
R44526,2022-05-14 00:52:39
R56242,2022-05-15 23:07:59
R79151,2022-05-15 14:29:24
R10625,2022-05-14 09:45:44
R28887,2022-05-14 01:29:09
R31295,2022-05-15 11:55:58
R42011,2022-05-15 10:15:26
R42750,2022-05-15 06:17:05
R29437,2022-05-15 11:20:42
R69202,2022-05-14 14:25:18
R89037,2022-05-14 21:38:20
R45125,2022-05-14 21:13:32
R68113,2022-05-14 12:53:48
R10736,2022-05-15 20:03:05
R24630,2022-05-15 21:00:15
R68303,2022-05-14 14:18:20
R87229,2022-05-15 09:00:40
R54225,2022-05-14 22:57:10
R87156,2022-05-15 13:40:53
R87158,2022-05-14 13:56:02
R61472,2022-05-15 14:38:29
R50686,2022-05-14 15:42:39
R41373,2022-05-15 11:30:44
R43997,2022-05-14 20:57:37
R30830,2022-05-14 22:57:48
R75948,2022-05-14 03:59:30
R84403,2022-05-15 18:34:01
R22903,2022-05-15 00:05:15
R74958,2022-05-15 23:30:29
R89008,2022-05-15 13:33:56
R52124,2022-05-15 12:32:30
R71296,2022-05-15 01:42:41
R49363,2022-05-14 10:56:45
R59167,2022-05-15 10:24:50
R49404,2022-05-15 04:33:23
R12471,2022-05-14 21:06:02
R31525,2022-05-14 19:09:19
R50782,2022-05-15 11:33:14
R12482,2022-05-15 23:42:11
R73742,2022-05-14 22:26:02
R21956,2022-05-15 16:56:20
R70917,2022-05-14 10:03:31
R53396,2022-05-15 16:41:03
R15203,2022-05-14 03:47:08
R24201,2022-05-14 07:38:54
R29782,2022-05-15 05:38:17
R76304,2022-05-15 13:57:19
R27824,2022-05-14 14:34:17
R45723,2022-05-15 04:42:04
R65388,2022-05-14 08:30:41
R15891,2022-05-14 13:51:51
R79953,2022-05-15 22:15:03
R82215,2022-05-15 16:25:06
R16658,2022-05-14 09:03:52
R14545,2022-05-15 09:58:48
R13741,2022-05-14 01:23:03
R10979,2022-05-15 21:54:00
R46728,2022-05-14 06:59:44
R77251,2022-05-15 14:21:53
R34997,2022-05-14 06:41:59
R83945,2022-05-15 01:31:47
R45601,2022-05-15 19:38:47
R64393,2022-05-14 20:00:04
R29485,2022-05-15 02:12:07
R10187,2022-05-14 02:47:22
R57364,2022-05-14 15:02:13
R84707,2022-05-15 03:26:05
R20203,2022-05-15 23:40:35
R71279,2022-05-15 10:46:26
R86582,2022-05-15 23:10:27
R14726,2022-05-15 10:53:22
R63950,2022-05-14 03:59:17
R30990,2022-05-14 00:55:55
R39288,2022-05-15 08:34:20
R38240,2022-05-15 18:15:11
R72413,2022-05-14 22:17:10
R12855,2022-05-14 10:36:30
R22978,2022-05-14 20:54:54
R55695,2022-05-14 10:28:15
R57911,2022-05-14 13:45:45
R47736,2022-05-15 12:39:59
R51496,2022-05-14 02:22:50
R48166,2022-05-14 21:02:14
R87814,2022-05-14 21:54:32
R64965,2022-05-15 13:05:49
R85825,2022-05-15 09:52:30
R51780,2022-05-14 09:45:17
R69742,2022-05-15 03:41:42
R20242,2022-05-14 00:05:58
R59095,2022-05-14 12:42:15
R54870,2022-05-14 20:16:57
R23475,2022-05-14 12:24:44
R58169,2022-05-15 00:30:18
R83418,2022-05-15 09:46:09
R52847,2022-05-15 03:57:49
R66461,2022-05-15 19:17:51
R56156,2022-05-15 14:15:30
R21421,2022-05-14 11:41:23
R55967,2022-05-15 04:03:37
R37046,2022-05-15 23:49:44
R31314,2022-05-14 12:22:21
R12370,2022-05-15 03:14:49
R27002,2022-05-14 01:55:11
R60776,2022-05-15 03:28:38
R83427,2022-05-15 07:26:12
R44345,2022-05-14 09:10:29
R85747,2022-05-14 04:17:10
R32141,2022-05-14 09:04:59
R72691,2022-05-15 22:34:09
R31523,2022-05-14 08:02:18
R75672,2022-05-14 17:54:45
R22230,2022-05-14 22:51:14
R48912,2022-05-15 20:29:46
R45934,2022-05-15 19:22:09
R51979,2022-05-14 11:44:17
R18818,2022-05-14 15:28:53
R12300,2022-05-15 18:27:37
R33623,2022-05-14 21:55:14
R22490,2022-05-14 08:12:24
R71919,2022-05-14 00:30:12
R73241,2022-05-15 11:53:40
R74822,2022-05-15 07:10:05
R24753,2022-05-15 23:24:39
R77585,2022-05-14 06:42:16
R81960,2022-05-15 03:34:57
R65665,2022-05-14 22:50:07
R44472,2022-05-15 18:49:54
R41938,2022-05-14 13:22:55
R36893,2022-05-15 22:49:41
R17902,2022-05-14 03:43:18
R57020,2022-05-14 13:45:12
R19923,2022-05-14 06:44:44
R53024,2022-05-14 12:17:02
R10492,2022-05-15 08:25:24
R48308,2022-05-14 08:26:14
R17870,2022-05-15 00:23:14
R65362,2022-05-15 13:35:47
R17010,2022-05-14 17:39:56
R83996,2022-05-14 09:22:17
R73953,2022-05-15 07:39:06
R27721,2022-05-14 21:21:17
R56652,2022-05-14 14:54:16
R44224,2022-05-15 20:59:26
R80527,2022-05-15 01:48:03
R15353,2022-05-14 20:50:48
R48847,2022-05-14 18:30:02
R85099,2022-05-14 12:10:49
R34436,2022-05-14 11:35:00
R17486,2022-05-15 04:13:03
R70494,2022-05-15 01:50:24
R46472,2022-05-15 10:23:35
R29027,2022-05-14 23:47:51
R31564,2022-05-14 02:34:50
R80848,2022-05-14 06:02:36
R30254,2022-05-15 10:04:52
R34976,2022-05-15 06:17:37
R54120,2022-05-15 08:20:14
R13597,2022-05-15 20:07:51
R55817,2022-05-14 10:49:12
R58403,2022-05-15 17:04:29
R51423,2022-05-15 12:39:40
R10852,2022-05-14 01:24:18
R26302,2022-05-15 17:21:04
R72450,2022-05-14 00:59:30
R84991,2022-05-15 23:57:52
R89281,2022-05-15 07:10:54
R32758,2022-05-14 05:54:26
R57996,2022-05-15 17:57:10
R29475,2022-05-15 14:17:18
R16443,2022-05-15 02:30:39
R25483,2022-05-14 08:13:39
R38249,2022-05-14 01:53:01
R67069,2022-05-15 16:55:31
R49405,2022-05-15 01:13:16
R82357,2022-05-15 23:58:02
R45908,2022-05-15 20:02:49
R78229,2022-05-14 05:50:37
R50565,2022-05-15 12:56:49
R20299,2022-05-14 11:40:25
R66612,2022-05-14 06:54:56
R55175,2022-05-15 21:49:01
R55642,2022-05-14 19:03:06
R25939,2022-05-15 16:57:57
R63739,2022-05-15 19:55:46
R50059,2022-05-14 18:25:03
R47592,2022-05-15 02:33:35
R44760,2022-05-15 10:21:35
R73773,2022-05-14 16:18:03
R40968,2022-05-15 06:00:33
R56635,2022-05-15 07:14:06
R44459,2022-05-15 06:42:08
R70951,2022-05-15 08:05:11
R88834,2022-05-15 18:32:14
R54871,2022-05-14 09:57:04
R77236,2022-05-15 08:12:20
R13827,2022-05-14 18:18:31
R70498,2022-05-15 14:32:19
R59334,2022-05-15 12:12:49
R89996,2022-05-14 04:56:04
R54316,2022-05-14 02:02:50
R66451,2022-05-14 09:32:22
R86926,2022-05-14 04:55:42
R79674,2022-05-14 01:59:23
R29177,2022-05-15 19:20:19
R15551,2022-05-15 09:18:02
R32235,2022-05-15 12:24:42
R54542,2022-05-14 08:43:29
R11600,2022-05-15 04:09:43
R66509,2022-05-14 00:03:26
R29038,2022-05-14 16:41:29
R42327,2022-05-14 12:18:47
R80980,2022-05-14 12:22:40
R45248,2022-05-14 03:57:19
R11989,2022-05-14 00:34:21
R77146,2022-05-14 03:54:01
R25713,2022-05-14 23:49:35
R43232,2022-05-14 10:25:21
R69797,2022-05-14 01:15:23
R11755,2022-05-15 15:17:57
R38533,2022-05-15 04:24:12
R47528,2022-05-15 21:21:44
R40178,2022-05-15 20:08:39
R74829,2022-05-14 03:39:48
R34092,2022-05-14 18:43:18
R40888,2022-05-15 11:25:03
R66851,2022-05-15 01:22:50
R47160,2022-05-14 06:53:36
R66767,2022-05-15 05:52:30
R13705,2022-05-15 17:55:42
R22118,2022-05-14 18:16:22
R87460,2022-05-15 08:37:51
R22473,2022-05-14 15:49:09
R86580,2022-05-15 10:07:00
R51046,2022-05-15 11:20:01
R27939,2022-05-14 23:10:49
R16663,2022-05-14 00:27:07
R19964,2022-05-14 06:39:49
R11991,2022-05-15 01:02:13
R21348,2022-05-14 11:18:30
R33566,2022-05-15 07:16:56
R65140,2022-05-15 19:49:08
R38951,2022-05-14 07:11:05
R28922,2022-05-15 20:47:14
R34835,2022-05-15 11:00:37
R69710,2022-05-14 11:59:18
R85251,2022-05-15 19:35:58
R33834,2022-05-14 02:57:41
R31865,2022-05-14 15:51:23
R26652,2022-05-15 12:05:44
R78364,2022-05-15 13:45:27
R25254,2022-05-14 22:14:56
R39347,2022-05-14 22:46:27
R39064,2022-05-15 12:09:22
R62989,2022-05-15 00:08:53
R74003,2022-05-15 12:05:34
R80816,2022-05-15 02:52:48
R87511,2022-05-15 11:10:59
R39243,2022-05-14 20:00:48
R50916,2022-05-14 04:11:43
R24692,2022-05-14 09:43:43
R89248,2022-05-15 12:02:00
R67149,2022-05-15 16:21:52
R21703,2022-05-14 07:40:22
R61389,2022-05-15 20:21:02
R32280,2022-05-15 01:48:51
R46356,2022-05-14 17:14:30
R68700,2022-05-14 04:31:29
R68001,2022-05-15 08:13:54
R52397,2022-05-15 00:06:23
R49525,2022-05-15 02:19:13
R48132,2022-05-14 08:02:43
R68139,2022-05-14 05:26:52
R13081,2022-05-15 05:39:11
R23785,2022-05-15 22:32:24
R55779,2022-05-14 10:37:10
R38215,2022-05-14 04:44:08
R66774,2022-05-15 20:28:41
R14700,2022-05-14 21:58:42
R85445,2022-05-15 15:42:58
R10349,2022-05-15 01:15:52
R22513,2022-05-15 20:32:10
R32787,2022-05-15 11:19:30
R39836,2022-05-15 23:18:35
R47045,2022-05-15 17:50:58
R77477,2022-05-14 15:47:08
R27892,2022-05-14 03:34:58
R64414,2022-05-15 18:00:46
R30526,2022-05-15 22:43:51
R44961,2022-05-15 07:19:25
R40530,2022-05-15 03:27:46
R75664,2022-05-15 14:42:24
R82087,2022-05-15 10:25:56
R40487,2022-05-15 12:44:45
R42990,2022-05-15 16:55:56
R75481,2022-05-15 00:42:20
R61410,2022-05-14 11:24:04
R41817,2022-05-14 17:27:22
