RatingID	facility_id	OwnerID	ActivityDate	Fine	score
R52878	FA0025553	OW0001223	2019-05-06	435	93
R89484	FA0180603	OW0001224	2019-06-20	354	93
R55186	FA0028710	OW0001225	2020-02-07	402	93
R52607	FA0138792	OW0001226	2020-06-27	132	90
R85368	FA0173618	OW0001227	2020-09-07	426	90
R87074	FA0252353	OW0001228	2020-06-17	127	90
R51800	FA0066706	OW0001229	2019-09-12	493	90
R50841	FA0257995	OW0001230	2020-08-03	194	90
R70625	FA0171487	OW0001231	2018-03-21	278	90
R20643	FA0151261	OW0001232	2018-09-09	398	90
R60214	FA0048959	OW0001233	2020-07-03	417	90
R72454	FA0003213	OW0001234	2019-03-09	110	90
R50421	FA0177110	OW0001235	2018-11-19	140	90
R51164	FA0158111	OW0001236	2020-05-09	227	93
R56116	FA0014298	OW0001237	2019-02-24	279	93
R81471	FA0013051	OW0001238	2018-03-24	488	93
R58858	FA0138312	OW0001239	2020-03-08	176	93
R36561	FA0159879	OW0001240	2019-12-02	120	93
R39369	FA0032381	OW0001241	2019-07-03	302	90
R80021	FA0018908	OW0001242	2018-12-12	203	90
R80476	FA0061598	OW0001243	2019-10-14	383	90
R11278	FA0025231	OW0001244	2019-09-06	107	90
R33442	FA0052169	OW0001245	2018-05-13	237	90
R76030	FA0064058	OW0001246	2019-05-10	203	90
R39505	FA0069393	OW0001247	2020-07-03	195	90
R88399	FA0029382	OW0001248	2019-06-16	472	90
R16777	FA0005543	OW0001249	2020-03-08	112	90
R80519	FA0068477	OW0001250	2018-12-02	183	92
R69763	FA0014124	OW0001251	2020-09-04	253	92
R11430	FA0173691	OW0001252	2018-08-28	318	92
R68504	FA0174526	OW0001253	2019-09-18	253	92
R28518	FA0072979	OW0001254	2018-05-17	175	92
R29407	FA0241192	OW0001255	2019-05-21	178	99
R36239	FA0256948	OW0001256	2020-07-02	476	91
R88091	FA0175521	OW0001257	2018-10-11	477	98
R56525	FA0257331	OW0001258	2020-09-01	117	98
R83744	FA0257318	OW0001259	2018-12-28	179	96
R58753	FA0242593	OW0001260	2020-07-22	399	96
R10314	FA0061944	OW0001261	2018-11-12	293	96
R21954	FA0012035	OW0001262	2018-07-11	156	80
R67946	FA0251763	OW0001263	2019-11-22	430	80
R42632	FA0016640	OW0001264	2019-07-20	329	80
R33402	FA0059230	OW0001265	2020-10-18	273	80
R66631	FA0057578	OW0001266	2019-07-14	122	80
R52168	FA0035344	OW0001267	2020-08-27	240	80
R69603	FA0022654	OW0001268	2020-04-22	375	80
R49551	FA0047657	OW0001269	2019-02-19	358	80
R11573	FA0051891	OW0001270	2018-06-15	445	80
R26183	FA0252470	OW0001271	2020-06-26	241	80
R87836	FA0058950	OW0001272	2018-04-24	368	80
R34365	FA0038125	OW0001273	2018-08-13	397	94
R70867	FA0175380	OW0001274	2018-10-05	109	94
R16010	FA0150998	OW0001275	2020-02-18	325	94
R35077	FA0224970	OW0001276	2019-09-18	328	94
R70883	FA0222393	OW0001277	2019-06-24	286	94
R80628	FA0021525	OW0001278	2019-04-03	169	97
R66457	FA0156822	OW0001279	2018-02-09	249	97
R85921	FA0178505	OW0001280	2018-11-20	330	97
R15584	FA0066900	OW0001281	2020-08-11	419	97
R74916	FA0043536	OW0001282	2020-02-09	108	97
R61455	FA0035520	OW0001283	2020-04-02	245	97
R67097	FA0250454	OW0001284	2018-07-11	464	93
R53530	FA0159997	OW0001285	2020-12-14	147	93
R70779	FA0070503	OW0001286	2018-06-18	243	93
R84621	FA0045584	OW0001287	2019-04-06	452	93
R71441	FA0224977	OW0001288	2019-02-03	488	95
R72651	FA0067445	OW0001289	2019-07-14	341	95
R74716	FA0026638	OW0001290	2020-04-15	364	95
R89400	FA0256610	OW0001291	2018-02-26	493	95
R16571	FA0252385	OW0001292	2018-02-14	180	95
R29648	FA0138438	OW0001293	2020-08-15	177	95
R46743	FA0251200	OW0001294	2018-09-27	384	95
R15752	FA0248697	OW0001295	2019-04-16	318	95
R76786	FA0241839	OW0001296	2020-03-06	449	97
R47633	FA0047817	OW0001297	2018-10-06	392	97
R72912	FA0030887	OW0001298	2018-10-10	492	97
R64197	FA0164467	OW0001299	2018-03-16	302	92
R17157	FA0257379	OW0001300	2019-04-01	310	92
R14674	FA0038335	OW0001301	2018-11-12	366	92
R30372	FA0004488	OW0001302	2019-02-22	311	92
R21123	FA0176108	OW0001303	2020-03-05	193	92
R15692	FA0029460	OW0001304	2019-09-06	113	92
R86380	FA0005596	OW0001305	2018-10-09	371	92
R29223	FA0012203	OW0001306	2018-09-28	301	97
R58947	FA0240691	OW0001307	2018-06-02	373	97
R45577	FA0257915	OW0001308	2020-07-11	464	83
R80235	FA0005171	OW0001309	2019-10-01	123	83
R13179	FA0051785	OW0001310	2019-09-01	470	83
R68761	FA0257018	OW0001311	2019-07-16	302	83
R59246	FA0032747	OW0001312	2019-06-21	415	83
R76068	FA0257661	OW0001313	2020-12-05	184	83
R63455	FA0014382	OW0001314	2020-05-08	201	83
R69369	FA0037408	OW0001315	2020-02-17	430	83
R83402	FA0041429	OW0001316	2018-05-01	480	83
R51127	FA0137974	OW0001317	2020-10-17	301	83
R48379	FA0072720	OW0001318	2020-02-06	111	83
R37693	FA0055078	OW0001319	2018-02-22	169	83
R22736	FA0033168	OW0001320	2018-09-25	321	83
R29205	FA0044158	OW0001321	2019-10-21	309	92
R20223	FA0158866	OW0001322	2020-06-27	402	92
R83419	FA0252159	OW0001323	2018-09-25	370	92
R35592	FA0006304	OW0001324	2018-05-15	443	92
R89749	FA0010013	OW0001325	2019-05-11	191	92
R86349	FA0171439	OW0001326	2018-03-25	278	92
R23347	FA0005734	OW0001327	2019-05-16	236	92
R51037	FA0226520	OW0001328	2020-02-27	112	98
R32641	FA0242118	OW0001329	2019-05-05	482	98
R48093	FA0144611	OW0001330	2020-11-27	359	98
R62053	FA0171232	OW0001331	2019-05-19	172	95
R50990	FA0008995	OW0001332	2020-02-06	121	95
R49703	FA0074415	OW0001333	2019-11-17	496	95
R76921	FA0047832	OW0001334	2019-10-01	454	95
R30103	FA0257650	OW0001335	2018-09-28	281	95
R27256	FA0171201	OW0001336	2019-08-21	172	93
R41033	FA0024180	OW0001337	2020-07-20	229	93
R74294	FA0025687	OW0001338	2018-09-02	354	93
R44300	FA0046842	OW0001339	2020-04-07	306	93
R28846	FA0160871	OW0001340	2018-05-03	187	93
R73963	FA0256888	OW0001341	2019-12-12	267	93
R10848	FA0008131	OW0001342	2020-08-07	347	93
R61496	FA0242874	OW0001343	2018-08-18	297	93
R85877	FA0158342	OW0001344	2019-07-02	176	93
R25781	FA0242486	OW0001345	2019-04-24	393	92
R49142	FA0065679	OW0001346	2019-11-16	210	92
R41327	FA0256075	OW0001347	2019-07-17	226	92
R79666	FA0222720	OW0001348	2018-10-14	226	92
R54852	FA0249467	OW0001349	2020-02-26	292	92
R84926	FA0026508	OW0001350	2019-09-12	322	99
R18332	FA0042669	OW0001351	2018-07-07	286	92
R61308	FA0165431	OW0001352	2020-05-27	100	92
R10255	FA0072270	OW0001353	2019-08-08	378	92
R40182	FA0071478	OW0001354	2020-08-05	216	92
R44723	FA0247746	OW0001355	2018-10-02	326	92
R80992	FA0036863	OW0001356	2019-06-24	404	92
R64332	FA0257381	OW0001357	2018-10-15	463	92
R62280	FA0171769	OW0001358	2019-10-24	131	92
R70083	FA0247722	OW0001359	2020-10-16	494	92
R83930	FA0257907	OW0001360	2019-03-27	296	92
R77706	FA0064411	OW0001361	2018-08-08	295	92
R55234	FA0142389	OW0001362	2018-06-09	456	92
R53709	FA0065185	OW0001363	2018-02-04	230	92
R38991	FA0023290	OW0001364	2018-08-25	315	92
R21617	FA0251131	OW0001365	2019-11-08	108	71
R80001	FA0137290	OW0001366	2020-08-26	336	71
R32743	FA0164752	OW0001367	2020-04-19	483	71
R62663	FA0247723	OW0001368	2018-08-04	179	71
R55171	FA0070036	OW0001369	2020-09-18	293	71
R27970	FA0139038	OW0001370	2018-12-16	259	71
R79509	FA0071241	OW0001371	2019-08-20	400	71
R17258	FA0047447	OW0001372	2019-04-08	402	71
R56589	FA0180534	OW0001373	2019-04-26	277	71
R67852	FA0026873	OW0001374	2019-12-15	474	71
R20791	FA0013424	OW0001375	2019-04-20	241	71
R18649	FA0256658	OW0001376	2018-12-13	212	71
R22801	FA0045067	OW0001377	2019-10-25	393	71
R19558	FA0163229	OW0001378	2019-09-25	436	71
R63832	FA0248565	OW0001379	2019-04-07	394	71
R57157	FA0256891	OW0001380	2018-11-08	181	71
R55057	FA0256367	OW0001381	2020-09-07	147	98
R49873	FA0243483	OW0001382	2018-08-26	285	94
R12256	FA0249481	OW0001383	2018-07-02	250	94
R56769	FA0065461	OW0001384	2019-10-25	140	94
R30853	FA0166346	OW0001385	2018-07-14	176	94
R66282	FA0013754	OW0001386	2018-12-26	484	90
R11699	FA0245811	OW0001387	2020-04-28	451	90
R58426	FA0063369	OW0001388	2018-07-28	134	90
R66260	FA0057786	OW0001389	2019-04-15	286	90
R19818	FA0244645	OW0001390	2019-11-21	381	90
R10411	FA0256940	OW0001391	2020-09-14	100	90
R86621	FA0143235	OW0001392	2019-03-08	129	90
R70188	FA0055036	OW0001393	2018-07-10	232	90
R75787	FA0069287	OW0001394	2018-10-18	192	90
R78245	FA0038692	OW0001395	2019-08-21	433	93
R72434	FA0159873	OW0001396	2020-10-04	129	93
R60057	FA0142720	OW0001397	2018-06-26	338	93
R64945	FA0251766	OW0001398	2018-04-05	355	93
R12668	FA0072007	OW0001399	2020-10-13	231	93
R87431	FA0028868	OW0001400	2020-10-15	460	93
R21824	FA0056947	OW0001401	2020-11-27	352	94
R57462	FA0251701	OW0001402	2020-06-02	357	94
R26585	FA0177115	OW0001403	2020-05-10	166	94
R51226	FA0040024	OW0001404	2020-12-22	401	94
R75044	FA0242457	OW0001405	2019-02-25	177	94
R68044	FA0243772	OW0001406	2020-05-25	192	99
R17825	FA0242200	OW0001407	2020-04-16	210	90
R75493	FA0165305	OW0001408	2019-07-09	451	90
R59324	FA0242325	OW0001409	2020-04-02	397	90
R31730	FA0257524	OW0001410	2018-05-13	499	90
R30199	FA0031006	OW0001411	2018-05-19	262	90
R42210	FA0052203	OW0001412	2020-12-23	454	90
R77612	FA0007262	OW0001413	2018-03-05	262	90
R30869	FA0165629	OW0001414	2019-06-08	102	90
R86983	FA0017778	OW0001415	2019-11-01	265	90
R64825	FA0166492	OW0001416	2020-06-06	469	90
R76662	FA0245671	OW0001417	2019-11-05	177	90
R61036	FA0252759	OW0001418	2020-03-18	350	90
R12047	FA0177602	OW0001419	2018-10-02	216	90
R36296	FA0252163	OW0001420	2018-03-04	315	90
R89128	FA0159444	OW0001421	2020-06-15	483	90
R20645	FA0256540	OW0001422	2018-11-18	351	90
R71272	FA0069539	OW0001423	2018-03-13	255	90
R33324	FA0177656	OW0001424	2020-09-04	265	90
R85684	FA0158452	OW0001425	2020-05-21	257	90
R32712	FA0242918	OW0001426	2019-12-09	452	93
R68509	FA0250629	OW0001427	2020-09-27	232	93
R64394	FA0037597	OW0001428	2019-03-12	346	93
R21283	FA0062208	OW0001429	2019-08-20	335	93
R25510	FA0066394	OW0001430	2020-11-25	285	93
R60862	FA0173747	OW0001431	2020-02-13	435	90
R73397	FA0033230	OW0001432	2020-09-12	241	90
R27821	FA0022008	OW0001433	2019-09-27	103	90
R84448	FA0040993	OW0001434	2019-06-24	258	90
R26719	FA0222607	OW0001435	2018-04-02	214	90
R78736	FA0009363	OW0001436	2020-05-17	285	90
R50368	FA0039664	OW0001437	2018-02-14	210	90
R88305	FA0251926	OW0001438	2018-12-21	467	98
R38345	FA0061331	OW0001439	2020-05-26	492	94
R56286	FA0062218	OW0001440	2019-09-07	135	94
R46764	FA0036234	OW0001441	2018-04-11	398	94
R52368	FA0240595	OW0001442	2018-06-12	381	94
R15974	FA0156119	OW0001443	2018-03-26	443	94
R61919	FA0248938	OW0001444	2018-02-13	357	95
R78310	FA0041111	OW0001445	2019-08-28	335	95
R50984	FA0046305	OW0001446	2018-08-02	265	95
R45361	FA0176832	OW0001447	2020-09-13	147	95
R83663	FA0014764	OW0001448	2020-06-02	355	90
R25324	FA0031857	OW0001449	2019-03-23	167	90
R51443	FA0256401	OW0001450	2018-08-23	243	90
R58905	FA0047829	OW0001451	2020-10-05	122	90
R41530	FA0052857	OW0001452	2018-11-10	420	90
R87828	FA0176829	OW0001453	2018-02-26	336	90
R77169	FA0054833	OW0001454	2018-06-24	413	90
R47612	FA0037779	OW0001455	2019-04-10	384	90
R33745	FA0257920	OW0001456	2020-11-16	340	92
R10554	FA0013052	OW0001457	2018-04-01	486	92
R64821	FA0173626	OW0001458	2020-03-18	123	92
R59777	FA0247728	OW0001459	2018-05-11	471	92
R15943	FA0225926	OW0001460	2019-02-11	304	97
R26732	FA0070502	OW0001461	2018-02-23	370	97
R15764	FA0165677	OW0001462	2020-05-04	442	97
R39754	FA0178995	OW0001463	2019-12-09	290	90
R84918	FA0257532	OW0001464	2018-10-01	303	90
R41508	FA0044745	OW0001465	2018-06-01	247	90
R33615	FA0257531	OW0001466	2019-05-10	489	90
R51030	FA0180043	OW0001467	2020-04-19	321	90
R64493	FA0067007	OW0001468	2020-05-01	266	90
R49545	FA0240085	OW0001469	2018-06-25	237	90
R62199	FA0047740	OW0001470	2020-06-02	373	90
R20779	FA0041240	OW0001471	2018-08-19	148	90
R62329	FA0042524	OW0001472	2019-10-17	299	90
R62551	FA0137912	OW0001473	2018-11-23	316	90
R64602	FA0004024	OW0001474	2019-12-18	263	90
R16409	FA0067423	OW0001475	2019-09-10	275	90
R46036	FA0058613	OW0001476	2018-04-12	483	90
R16257	FA0178920	OW0001477	2019-08-28	249	90
R60543	FA0222847	OW0001478	2019-02-03	343	96
R25229	FA0032604	OW0001479	2020-03-13	140	96
R20028	FA0010553	OW0001480	2020-04-11	484	96
R38350	FA0031330	OW0001481	2019-04-09	446	94
R59704	FA0011775	OW0001482	2019-05-03	155	94
R33865	FA0242203	OW0001483	2018-09-19	358	94
R42236	FA0166536	OW0001484	2018-07-19	280	94
R56988	FA0224057	OW0001485	2020-07-07	218	93
R19511	FA0245292	OW0001486	2018-02-09	434	93
R74468	FA0023634	OW0001487	2020-08-09	408	93
R13823	FA0032686	OW0001488	2019-10-04	165	93
R81268	FA0025354	OW0001489	2019-10-09	428	93
R32060	FA0060042	OW0001490	2020-07-07	235	98
R54336	FA0225498	OW0001491	2019-03-16	256	98
R58459	FA0057560	OW0001492	2018-05-08	386	96
R61168	FA0039823	OW0001493	2019-04-02	244	96
R84955	FA0251920	OW0001494	2019-04-23	317	96
R35792	FA0242892	OW0001495	2020-02-03	326	96
R29721	FA0172374	OW0001496	2020-07-14	484	91
R47978	FA0159060	OW0001497	2019-08-28	470	91
R14329	FA0004594	OW0001498	2018-11-15	352	91
R38504	FA0160307	OW0001499	2020-04-13	383	91
R26377	FA0009971	OW0001500	2020-10-19	278	91
R78634	FA0071291	OW0001501	2020-04-05	367	91
R70187	FA0051388	OW0001502	2019-09-02	481	90
R51437	FA0223628	OW0001503	2018-10-20	420	90
R21064	FA0245232	OW0001504	2019-07-26	336	90
R35419	FA0243307	OW0001505	2020-02-21	134	90
R75327	FA0067414	OW0001506	2019-08-07	342	90
R52735	FA0024690	OW0001507	2020-05-01	158	90
R22560	FA0175604	OW0001508	2018-09-23	184	90
R87555	FA0143658	OW0001509	2020-08-12	233	90
R69182	FA0020520	OW0001510	2018-09-23	319	91
R55750	FA0160658	OW0001511	2020-06-14	309	91
R84121	FA0069489	OW0001512	2018-08-22	424	91
R76923	FA0249604	OW0001513	2019-09-25	457	91
R29247	FA0009104	OW0001514	2020-08-25	421	91
R22368	FA0050260	OW0001515	2019-03-05	226	91
R56455	FA0019382	OW0001516	2020-09-08	267	91
R23726	FA0249603	OW0001517	2020-06-04	366	91
R50905	FA0138903	OW0001518	2018-05-03	203	96
R58978	FA0158151	OW0001519	2018-11-20	100	96
R35025	FA0166978	OW0001520	2019-09-09	325	96
R39623	FA0033860	OW0001521	2018-02-20	358	96
R30117	FA0225404	OW0001522	2018-03-06	386	92
R62554	FA0225514	OW0001523	2020-08-04	236	92
R30769	FA0005767	OW0001524	2018-05-07	160	92
R27443	FA0242489	OW0001525	2020-11-24	247	92
R50449	FA0015281	OW0001526	2019-02-07	496	92
R25441	FA0244651	OW0001527	2020-04-04	144	92
R46911	FA0036978	OW0001528	2019-05-20	467	92
R23183	FA0225959	OW0001529	2018-12-18	216	91
R40967	FA0242417	OW0001530	2020-05-04	454	91
R53484	FA0251764	OW0001531	2020-04-26	244	91
R15219	FA0164549	OW0001532	2020-05-10	271	91
R18875	FA0242464	OW0001533	2018-04-04	365	91
R84716	FA0006905	OW0001534	2019-05-18	431	91
R31720	FA0072131	OW0001535	2019-03-10	425	91
R75490	FA0056292	OW0001536	2020-04-04	314	91
R57453	FA0037389	OW0001537	2020-07-17	388	98
R71765	FA0248041	OW0001538	2018-07-03	459	98
R73250	FA0160310	OW0001539	2019-06-04	298	94
R15924	FA0071654	OW0001540	2018-03-11	162	94
R76421	FA0023453	OW0001541	2020-10-07	475	94
R19388	FA0071887	OW0001542	2019-12-11	416	94
R84258	FA0064453	OW0001543	2020-08-09	414	94
R56639	FA0138170	OW0001544	2020-03-10	355	98
R73361	FA0032915	OW0001545	2019-07-10	224	98
R12430	FA0167281	OW0001546	2018-05-08	310	92
R59876	FA0035847	OW0001547	2020-10-05	483	92
R86956	FA0056956	OW0001548	2018-11-13	393	92
R85936	FA0071193	OW0001549	2020-09-16	474	92
