RatingID	FacilityID	ViolationID	ActivityDate	Fine	Score				
R16089	FA0245874	VL91	2019-12-26	119	93				
R53913	FA0068212	VL92	2018-05-27	394	93				
R22694	FA0060783	VL95	2018-07-11	216	93				
R82658	FA0239318	VL99	2020-06-12	414	93				
R74367	FA0160129	VL10	2018-09-10	322	98				
R24440	FA0159764	VL11	2020-08-27	487	98				
R79859	FA0065462	VL12	2020-03-01	462	95				
R55857	FA0043243	VL13	2020-09-16	411	95				
R84355	FA0239961	VL14	2020-11-05	400	95				
R63546	FA0071308	VL16	2018-11-17	332	95				
R19044	FA0026813	VL17	2019-02-01	485	95				
R84642	FA0068700	VL20	2019-05-20	214	95				
R69905	FA0044442	VL21	2020-04-28	104	95				
R86392	FA0177194	VL25	2020-06-28	474	90				
R29202	FA0070452	VL26	2019-12-26	368	95				
R43079	FA0245913	VL28	2020-02-10	327	94				
R29440	FA0226286	VL29	2018-07-22	249	94				
R28684	FA0058509	VL30	2018-12-15	500	94				
R18257	FA0048716	VL32	2019-11-20	179	94				
R85250	FA0061647	VL33	2019-09-02	267	94				
R82763	FA0164788	VL36	2019-08-08	166	94				
R81997	FA0038973	VL37	2020-03-26	302	93				
R78299	FA0240779	VL38	2020-12-12	273	93				
R27860	FA0020653	VL40	2020-07-05	242	93				
R35746	FA0040525	VL42	2020-08-18	434	93				
R73477	FA0257976	VL44	2019-12-08	343	93				
R43999	FA0239933	VL46	2020-11-08	300	93				
R13779	FA0071557	VL48	2020-04-19	244	93				
R58509	FA0251353	VL50	2019-10-10	398	96				
R35043	FA0178708	VL51	2020-06-26	358	96				
R76129	FA0159961	VL52	2019-04-10	120	96				
R63942	FA0009070	VL53	2018-09-07	444	91				
R41110	FA0061432	VL54	2020-03-02	348	91				
R48989	FA0008946	VL55	2018-05-28	220	91				
R52839	FA0005449	VL56	2019-12-06	386	91				
R10425	FA0242836	VL57	2020-05-04	296	91				
R18832	FA0166695	VL58	2018-04-27	193	91				
R19491	FA0257111	VL61	2019-04-01	349	91				
R30304	FA0066725	VL62	2019-07-28	486	93				
R28963	FA0029933	VL64	2020-06-03	127	93				
R52878	FA0025553	VL66	2018-09-14	284	93				
R89484	FA0180603	VL67	2019-12-11	237	93				
R55186	FA0028710	VL68	2019-10-17	131	93				
R52607	FA0138792	VL71	2018-12-20	123	90				
R85368	FA0173618	VL74	2018-04-17	240	90				
R87074	FA0252353	VL76	2018-07-13	300	90				
R51800	FA0066706	VL80	2018-05-11	245	90				
R50841	FA0257995	VL81	2020-07-04	291	90				
R70625	FA0171487	VL82	2020-06-10	219	90				
R20643	FA0151261	VL89	2020-10-22	429	90				
R60214	FA0048959	VL90	2019-10-21	372	90				
R72454	FA0003213	VL91	2019-05-05	475	90				
R50421	FA0177110	VL92	2018-07-12	199	90				
R51164	FA0158111	VL95	2018-10-05	450	93				
R56116	FA0014298	VL99	2019-06-27	101	93				
R81471	FA0013051	VL10	2020-08-15	393	93				
R58858	FA0138312	VL11	2018-07-11	132	93				
R36561	FA0159879	VL12	2020-06-08	317	93				
R39369	FA0032381	VL13	2019-05-28	319	90				
R80021	FA0018908	VL14	2020-08-05	116	90				
R80476	FA0061598	VL16	2020-08-08	365	90				
R11278	FA0025231	VL17	2020-05-01	414	90				
R33442	FA0052169	VL20	2020-02-10	290	90				
R76030	FA0064058	VL21	2018-04-25	315	90				
R39505	FA0069393	VL25	2020-12-06	237	90				
R88399	FA0029382	VL26	2019-06-24	435	90				
R16777	FA0005543	VL28	2018-11-26	347	90				
R80519	FA0068477	VL29	2018-12-11	384	92				
R69763	FA0014124	VL30	2019-09-24	146	92				
R11430	FA0173691	VL32	2019-04-11	496	92				
R68504	FA0174526	VL33	2019-12-26	200	92				
R28518	FA0072979	VL36	2019-12-22	111	92				
R29407	FA0241192	VL37	2019-10-05	480	99				
R36239	FA0256948	VL38	2020-10-16	283	91				
R88091	FA0175521	VL40	2018-03-04	288	98				
R56525	FA0257331	VL42	2020-02-05	368	98				
R83744	FA0257318	VL44	2019-02-22	382	96				
R58753	FA0242593	VL46	2018-08-10	378	96				
R10314	FA0061944	VL48	2019-11-17	460	96				
R21954	FA0012035	VL50	2019-09-20	183	80				
R67946	FA0251763	VL51	2018-12-25	429	80				
R42632	FA0016640	VL52	2018-06-06	190	80				
R33402	FA0059230	VL53	2019-08-14	226	80				
R66631	FA0057578	VL54	2019-12-04	125	80				
R52168	FA0035344	VL55	2018-03-21	421	80				
R69603	FA0022654	VL56	2020-03-14	119	80				
R49551	FA0047657	VL57	2018-08-05	473	80				
R11573	FA0051891	VL58	2020-03-09	237	80				
R26183	FA0252470	VL61	2019-12-15	479	80				
R87836	FA0058950	VL62	2018-06-14	328	80				
R34365	FA0038125	VL64	2020-03-28	132	94				
R70867	FA0175380	VL66	2020-09-28	335	94				
R16010	FA0150998	VL67	2019-07-06	314	94				
R35077	FA0224970	VL68	2019-10-20	446	94				
R70883	FA0222393	VL71	2019-10-10	495	94				
R80628	FA0021525	VL74	2019-08-18	290	97				
R66457	FA0156822	VL76	2018-11-14	219	97				
R85921	FA0178505	VL80	2020-03-21	279	97				
R15584	FA0066900	VL81	2019-11-01	455	97				
R74916	FA0043536	VL82	2018-04-28	188	97				
R61455	FA0035520	VL89	2018-10-20	427	97				
R67097	FA0250454	VL90	2018-02-13	104	93				
R53530	FA0159997	VL91	2018-06-25	285	93				
R70779	FA0070503	VL92	2019-06-27	278	93				
R84621	FA0045584	VL95	2020-09-07	283	93				
R71441	FA0224977	VL99	2018-03-25	144	95				
R72651	FA0067445	VL10	2020-03-06	244	95				
R74716	FA0026638	VL11	2018-06-26	194	95				
R89400	FA0256610	VL12	2018-09-10	388	95				
R16571	FA0252385	VL13	2020-10-25	236	95				
R29648	FA0138438	VL14	2018-08-21	393	95				
R46743	FA0251200	VL16	2019-11-03	445	95				
R15752	FA0248697	VL17	2020-03-13	271	95				
R76786	FA0241839	VL20	2018-08-18	488	97				
R47633	FA0047817	VL21	2020-08-13	369	97				
R72912	FA0030887	VL25	2018-03-27	156	97				
R64197	FA0164467	VL26	2018-07-13	109	92				
R17157	FA0257379	VL28	2018-11-13	337	92				
R14674	FA0038335	VL29	2019-07-18	104	92				
R30372	FA0004488	VL30	2020-07-17	205	92				
R21123	FA0176108	VL32	2019-07-03	244	92				
R15692	FA0029460	VL33	2019-12-04	475	92				
R86380	FA0005596	VL36	2020-10-08	223	92				
R29223	FA0012203	VL37	2019-10-28	431	97				
R58947	FA0240691	VL38	2018-10-02	118	97				
R45577	FA0257915	VL40	2018-03-08	124	83				
R80235	FA0005171	VL42	2019-12-26	339	83				
R13179	FA0051785	VL44	2019-10-28	283	83				
R68761	FA0257018	VL46	2019-08-15	193	83				
R59246	FA0032747	VL48	2018-04-04	497	83				
R76068	FA0257661	VL50	2020-08-13	149	83				
R63455	FA0014382	VL51	2018-07-15	382	83				
R69369	FA0037408	VL52	2018-10-12	333	83				
R83402	FA0041429	VL53	2020-08-28	166	83				
R51127	FA0137974	VL54	2019-10-05	449	83				
R48379	FA0072720	VL55	2019-10-10	256	83				
R37693	FA0055078	VL56	2018-04-09	136	83				
R22736	FA0033168	VL57	2018-06-15	106	83				
R29205	FA0044158	VL58	2020-11-22	269	92				
R20223	FA0158866	VL61	2018-03-28	349	92				
R83419	FA0252159	VL62	2018-06-13	277	92				
R35592	FA0006304	VL64	2019-09-13	137	92				
R89749	FA0010013	VL66	2019-02-03	326	92				
R86349	FA0171439	VL67	2019-03-13	121	92				
R23347	FA0005734	VL68	2018-06-02	484	92				
R51037	FA0226520	VL71	2018-10-27	472	98				
R32641	FA0242118	VL74	2018-10-21	103	98				
R48093	FA0144611	VL76	2020-05-05	465	98				
R62053	FA0171232	VL80	2020-06-16	365	95				
R50990	FA0008995	VL81	2020-02-14	416	95				
R49703	FA0074415	VL82	2019-04-07	397	95				
R76921	FA0047832	VL89	2020-02-07	348	95				
R30103	FA0257650	VL90	2020-04-12	157	95				
R27256	FA0171201	VL91	2020-10-01	496	93				
R41033	FA0024180	VL92	2019-07-05	180	93				
R74294	FA0025687	VL95	2020-08-21	460	93				
R44300	FA0046842	VL99	2020-05-04	416	93				
R28846	FA0160871	VL10	2019-07-09	238	93				
R73963	FA0256888	VL11	2018-11-02	146	93				
R10848	FA0008131	VL12	2018-04-05	406	93				
R61496	FA0242874	VL13	2019-12-08	356	93				
R85877	FA0158342	VL14	2018-11-27	203	93				
R25781	FA0242486	VL16	2019-10-06	204	92				
R49142	FA0065679	VL17	2018-12-09	394	92				
R41327	FA0256075	VL20	2019-09-25	358	92				
R79666	FA0222720	VL21	2020-10-14	317	92				
R54852	FA0249467	VL25	2019-12-04	196	92				
R84926	FA0026508	VL26	2020-02-19	324	99				
R18332	FA0042669	VL28	2018-05-14	453	92				
R61308	FA0165431	VL29	2019-10-22	422	92				
R10255	FA0072270	VL30	2020-10-28	335	92				
R40182	FA0071478	VL32	2019-04-20	317	92				
R44723	FA0247746	VL33	2018-07-26	218	92				
R80992	FA0036863	VL36	2018-10-03	264	92				
R64332	FA0257381	VL37	2019-04-09	448	92				
R62280	FA0171769	VL38	2018-03-17	257	92				
R70083	FA0247722	VL40	2018-08-06	221	92				
R83930	FA0257907	VL42	2018-02-19	266	92				
R77706	FA0064411	VL44	2020-11-19	435	92				
R55234	FA0142389	VL46	2019-05-13	125	92				
R53709	FA0065185	VL48	2019-09-19	350	92				
R38991	FA0023290	VL50	2018-10-21	182	92				
R21617	FA0251131	VL51	2020-06-01	174	71				
R80001	FA0137290	VL52	2018-03-12	144	71				
R32743	FA0164752	VL53	2018-02-28	154	71				
R62663	FA0247723	VL54	2019-12-19	296	71				
R55171	FA0070036	VL55	2018-05-22	420	71				
R27970	FA0139038	VL56	2018-05-18	169	71				
R79509	FA0071241	VL57	2020-12-01	208	71				
R17258	FA0047447	VL58	2020-06-14	131	71				
R56589	FA0180534	VL61	2018-10-04	403	71				
R67852	FA0026873	VL62	2020-07-10	103	71				
R20791	FA0013424	VL64	2020-10-18	363	71				
R18649	FA0256658	VL66	2019-05-09	181	71				
R22801	FA0045067	VL67	2019-11-27	226	71				
R19558	FA0163229	VL68	2020-11-26	336	71				
R63832	FA0248565	VL71	2019-04-08	190	71				
R57157	FA0256891	VL74	2019-12-07	444	71				
R55057	FA0256367	VL76	2020-08-27	457	98				
R49873	FA0243483	VL80	2020-10-18	255	94				
R12256	FA0249481	VL81	2020-07-08	243	94				
R56769	FA0065461	VL82	2019-02-02	480	94				
R30853	FA0166346	VL89	2020-05-17	486	94				
R66282	FA0013754	VL90	2018-10-26	422	90				
R11699	FA0245811	VL91	2019-08-20	220	90				
R58426	FA0063369	VL92	2018-03-16	342	90				
R66260	FA0057786	VL95	2020-02-15	265	90				
R19818	FA0244645	VL99	2020-06-26	376	90				
R10411	FA0256940	VL10	2020-08-01	410	90				
R86621	FA0143235	VL11	2020-07-15	112	90				
R70188	FA0055036	VL12	2019-06-08	410	90				
R75787	FA0069287	VL13	2019-09-01	463	90				
R78245	FA0038692	VL14	2019-12-12	213	93				
R72434	FA0159873	VL16	2018-10-16	349	93				
R60057	FA0142720	VL17	2020-11-04	235	93				
R64945	FA0251766	VL20	2019-09-14	467	93				
R12668	FA0072007	VL21	2020-12-05	272	93				
R87431	FA0028868	VL25	2020-05-06	150	93				
R21824	FA0056947	VL26	2018-04-16	378	94				
R57462	FA0251701	VL28	2018-06-11	307	94				
R26585	FA0177115	VL29	2020-06-08	336	94				
R51226	FA0040024	VL30	2020-11-05	492	94				
R75044	FA0242457	VL32	2019-07-08	115	94				
R68044	FA0243772	VL33	2018-06-04	113	99				
R17825	FA0242200	VL36	2019-09-10	417	90				
R75493	FA0165305	VL37	2018-06-26	269	90				
R59324	FA0242325	VL38	2019-02-21	360	90				
R31730	FA0257524	VL40	2019-03-18	391	90				
R30199	FA0031006	VL42	2018-07-01	415	90				
R42210	FA0052203	VL44	2018-05-17	286	90				
R77612	FA0007262	VL46	2019-12-28	471	90				
R30869	FA0165629	VL48	2018-09-24	426	90				
R86983	FA0017778	VL50	2020-10-09	322	90				
R64825	FA0166492	VL51	2020-06-27	385	90				
R76662	FA0245671	VL52	2020-07-09	224	90				
R61036	FA0252759	VL53	2020-11-28	441	90				
R12047	FA0177602	VL54	2020-10-03	139	90				
R36296	FA0252163	VL55	2019-07-10	421	90				
R89128	FA0159444	VL56	2018-03-20	498	90				
R20645	FA0256540	VL57	2020-02-24	249	90				
R71272	FA0069539	VL58	2020-10-06	398	90				
R33324	FA0177656	VL61	2020-03-27	368	90				
R85684	FA0158452	VL62	2018-03-25	303	90				
R32712	FA0242918	VL64	2020-02-24	339	93				
R68509	FA0250629	VL66	2020-07-04	212	93				
R64394	FA0037597	VL67	2019-07-24	491	93				
R21283	FA0062208	VL68	2020-07-04	339	93				
R25510	FA0066394	VL71	2018-10-17	422	93				
R60862	FA0173747	VL74	2020-02-17	279	90				
R73397	FA0033230	VL76	2018-06-08	141	90				
R27821	FA0022008	VL80	2018-06-21	363	90				
R84448	FA0040993	VL81	2019-12-16	430	90				
R26719	FA0222607	VL82	2018-09-03	255	90				
R78736	FA0009363	VL89	2018-03-27	243	90				
R50368	FA0039664	VL90	2019-06-23	291	90				
R88305	FA0251926	VL91	2020-03-21	382	98				
R38345	FA0061331	VL92	2019-08-12	103	94				
R56286	FA0062218	VL95	2018-12-14	219	94				
R46764	FA0036234	VL99	2018-12-28	361	94				
R52368	FA0240595	VL10	2020-03-27	465	94				
R15974	FA0156119	VL11	2018-10-09	378	94				
R61919	FA0248938	VL12	2019-09-14	148	95				
R78310	FA0041111	VL13	2020-06-17	272	95				
R50984	FA0046305	VL14	2019-09-03	404	95				
R45361	FA0176832	VL16	2019-09-15	128	95				
R83663	FA0014764	VL17	2020-04-23	358	90				
R25324	FA0031857	VL20	2019-04-28	380	90				
R51443	FA0256401	VL21	2020-03-19	216	90				
R58905	FA0047829	VL25	2019-11-05	113	90				
R41530	FA0052857	VL26	2020-02-08	127	90				
R87828	FA0176829	VL28	2019-04-08	183	90				
R77169	FA0054833	VL29	2018-03-03	308	90				
R47612	FA0037779	VL30	2019-08-03	289	90				
R33745	FA0257920	VL32	2018-06-05	276	92				
R10554	FA0013052	VL33	2020-07-08	174	92				
R64821	FA0173626	VL36	2018-04-03	378	92				
R59777	FA0247728	VL37	2018-08-02	500	92				
R15943	FA0225926	VL38	2019-05-19	325	97				
R26732	FA0070502	VL40	2020-02-12	312	97				
R15764	FA0165677	VL42	2020-12-23	254	97				
R39754	FA0178995	VL44	2019-07-10	250	90				
R84918	FA0257532	VL46	2020-04-24	384	90				
R41508	FA0044745	VL48	2020-06-18	113	90				
R33615	FA0257531	VL50	2019-02-18	455	90				
R51030	FA0180043	VL51	2019-11-15	354	90				
R64493	FA0067007	VL52	2019-09-09	263	90				
R49545	FA0240085	VL53	2020-10-15	494	90				
R62199	FA0047740	VL54	2018-12-12	194	90				
R20779	FA0041240	VL55	2020-09-28	457	90				
R62329	FA0042524	VL56	2020-02-06	242	90				
R62551	FA0137912	VL57	2019-12-05	306	90				
R64602	FA0004024	VL58	2019-02-03	374	90				
R16409	FA0067423	VL61	2020-09-06	194	90				
R46036	FA0058613	VL62	2019-02-02	351	90				
R16257	FA0178920	VL64	2019-06-10	132	90				
R60543	FA0222847	VL66	2020-12-28	151	96				
R25229	FA0032604	VL67	2018-08-05	471	96				
R20028	FA0010553	VL68	2019-04-20	417	96				
R38350	FA0031330	VL71	2020-05-09	219	94				
R59704	FA0011775	VL74	2020-04-20	333	94				
R33865	FA0242203	VL76	2019-03-10	102	94				
R42236	FA0166536	VL80	2018-10-23	298	94				
R56988	FA0224057	VL81	2018-11-15	415	93				
R19511	FA0245292	VL82	2018-10-07	477	93				
R74468	FA0023634	VL89	2019-07-18	353	93				
R13823	FA0032686	VL90	2019-03-10	494	93				
R81268	FA0025354	VL91	2019-06-21	217	93				
R32060	FA0060042	VL92	2019-04-25	404	98				
R54336	FA0225498	VL95	2020-07-08	103	98				
R58459	FA0057560	VL99	2018-06-20	227	96				
R61168	FA0039823	VL10	2018-05-05	271	96				
R84955	FA0251920	VL11	2020-08-17	193	96				
R35792	FA0242892	VL12	2019-06-19	417	96				
R29721	FA0172374	VL13	2019-02-17	286	91				
R47978	FA0159060	VL14	2019-03-02	490	91				
R14329	FA0004594	VL16	2019-11-20	119	91				
R38504	FA0160307	VL17	2019-10-21	389	91				
R26377	FA0009971	VL20	2018-10-27	253	91				
R78634	FA0071291	VL21	2019-05-19	206	91				
R70187	FA0051388	VL25	2018-06-12	366	90				
R51437	FA0223628	VL26	2019-02-13	130	90				
R21064	FA0245232	VL28	2018-10-10	233	90				
R35419	FA0243307	VL29	2018-05-05	256	90				
R75327	FA0067414	VL30	2020-10-13	313	90				
R52735	FA0024690	VL32	2020-12-16	491	90				
R22560	FA0175604	VL33	2020-02-26	364	90				
R87555	FA0143658	VL36	2019-10-15	445	90				
R69182	FA0020520	VL37	2019-11-22	432	91				
R55750	FA0160658	VL38	2020-07-02	297	91				
R84121	FA0069489	VL40	2020-10-11	272	91				
R76923	FA0249604	VL42	2019-10-21	166	91				
R29247	FA0009104	VL44	2020-06-21	424	91				
R22368	FA0050260	VL46	2020-07-02	271	91				
R56455	FA0019382	VL48	2018-06-20	498	91				
R23726	FA0249603	VL50	2019-05-08	477	91				
R50905	FA0138903	VL51	2019-11-26	301	96				
R58978	FA0158151	VL52	2020-07-11	298	96				
R35025	FA0166978	VL53	2020-10-24	438	96				
R39623	FA0033860	VL54	2018-02-03	141	96				
R30117	FA0225404	VL55	2020-12-24	180	92				
R62554	FA0225514	VL56	2019-03-25	336	92				
R30769	FA0005767	VL57	2018-04-28	290	92				
R27443	FA0242489	VL58	2018-06-06	181	92				
R50449	FA0015281	VL61	2020-04-04	259	92				
R25441	FA0244651	VL62	2019-04-18	311	92				
R46911	FA0036978	VL64	2020-05-18	426	92				
R23183	FA0225959	VL66	2018-02-27	113	91				
R40967	FA0242417	VL67	2020-05-07	445	91				
R53484	FA0251764	VL68	2019-12-22	170	91				
R15219	FA0164549	VL71	2019-02-27	393	91				
R18875	FA0242464	VL74	2019-09-11	192	91				
R84716	FA0006905	VL76	2019-08-14	488	91				
R31720	FA0072131	VL80	2019-05-25	126	91				
R75490	FA0056292	VL81	2020-08-04	271	91				
R57453	FA0037389	VL82	2019-04-21	341	98				
R71765	FA0248041	VL89	2020-10-22	487	98				
R73250	FA0160310	VL90	2020-09-01	145	94				
R15924	FA0071654	VL91	2020-03-13	406	94				
R76421	FA0023453	VL92	2019-06-11	481	94				
R19388	FA0071887	VL95	2019-09-24	360	94				
R84258	FA0064453	VL99	2019-09-04	286	94				
R56639	FA0138170	VL10	2019-07-16	113	98				
R73361	FA0032915	VL11	2019-07-02	176	98				
R12430	FA0167281	VL12	2020-09-15	334	92				
R59876	FA0035847	VL13	2020-12-21	486	92				
R86956	FA0056956	VL14	2019-05-02	133	92				
R85936	FA0071193	VL16	2019-04-21	289	92				
R88926	FA0020874	VL17	2018-11-13	290	92				
R44786	FA0053086	VL20	2020-04-09	483	92				
R18964	FA0022727	VL21	2018-07-04	222	92				
R32387	FA0251376	VL25	2020-12-01	365	92				
R22153	FA0239139	VL26	2019-11-06	237	94				
R73830	FA0021441	VL28	2018-05-18	367	94				
R84726	FA0177226	VL29	2018-02-04	488	94				
R14120	FA0179821	VL30	2019-05-05	207	94				
R44526	FA0249928	VL32	2020-02-09	345	94				
R56242	FA0018422	VL33	2020-11-23	216	94				
R79151	FA0164782	VL36	2019-08-08	119	99				
R10625	FA0251721	VL37	2019-06-16	310	95				
R28887	FA0160867	VL38	2020-12-22	231	95				
R31295	FA0009776	VL40	2019-11-08	367	95				
R42011	FA0247990	VL42	2018-07-27	107	95				
R42750	FA0173639	VL44	2019-03-19	142	95				
R29437	FA0049298	VL46	2019-06-04	339	91				
R69202	FA0251000	VL48	2020-06-04	175	91				
R89037	FA0014590	VL50	2018-04-20	201	91				
R45125	FA0221954	VL51	2019-10-20	284	91				
