FacilityID,FacilityName,FacilityCity,FacilityAddress,OwnerID
FA0020319,KOUTOUBIA,LOS ANGELES,2116 WESTWOOD BLVD,OW0009535
FA0011860,EAGLE ROCK SALES,LOS ANGELES,2207 COLORADO BLVD,OW0021348
FA0014861,CHINESE HOUSE HAOCHI,LOS ANGELES,3280 W 6TH ST,OW0019529
FA0036713,TEMPTATION,LOS ANGELES,739 1/2 S WESTERN AVE,OW0028328
FA0028227,PESCADERIA PUERTO GUAYMAS,LOS ANGELES,1159 E FLORENCE AVE,OW0129859
FA0069195,RALPHS MARKET #266,LOS ANGELES,11922 S VERMONT AVE,OW0033169
FA0166758,LAS PALMAS PUPUSERIA,LOS ANGELES,1165 E FLORENCE AVE,OW0001927
FA0066316,MANDARIN HOUSE-JIN HUNG GAK,LOS ANGELES,928 S WESTERN AVE STE 147,OW0242329
FA0057164,AJISEN RAMEN,LOS ANGELES,10250 SANTA MONICA BLVD # # PC1,OW0039105
FA0247798,PATRA BURGERS,LOS ANGELES,1524 W SUNSET BLVD,OW0006149
FA0041333,WOKCANO DOWNTOWN L.A.,LOS ANGELES,800 W 7TH ST,OW0025691
FA0050341,TACOS GUADALAJARA,LOS ANGELES,1804 E VERNON AVE # D-10,OW0181087
FA0034441,LA FLOR BLANCA,LOS ANGELES,1279 W JEFFERSON BLVD,OW0037014
FA0174410,BROTHER'S SANDWICH SHOP,LOS ANGELES,3274 W 6TH ST,OW0002152
FA0039177,USC MAIN KITCHEN-BASEMENT,LOS ANGELES,3607 TROUSDALE PKWY,OW0124526
FA0033381,KING'S MARKET,LOS ANGELES,8000 S WESTERN AVE,OW0101783
FA0159513,UBATUBA ACAI KOREATOWN,LOS ANGELES,549 S WESTERN AVE,OW0019097
FA0138427,BON BON BERRY,LOS ANGELES,1848 WESTWOOD BLVD,OW0018276
FA0064803,PLAZA MARKET,LOS ANGELES,4121 CITY TERRACE DR,OW0006627
FA0041712,NICOLE'S GOURMET COFFEE,LOS ANGELES,928 S WESTERN AVE STE #145,OW0037012
FA0009108,CHUCK E CHEESE'S #367,LOS ANGELES,6901 LA TIJERA BLVD,OW0236285
FA0067197,MORETON FIGS RESTAURANT/BAR,LOS ANGELES,5830 YORK BLVD,OW0010561
FA0240128,JANE'S CAFE,LOS ANGELES,2960 N BEVERLY GLEN CIR,OW0002358
FA0013359,FABROCINI'S,LOS ANGELES,4125 CITY TERRACE DR,OW0249106
FA0057346,ALVAREZ BAKERY,LOS ANGELES,1555 W SUNSET BLVD STE B,OW0128184
FA0256404,HEY HEY,LOS ANGELES,10717 S VERMONT AVE,OW0009101
FA0164879,MELODY BEER & WINE MARKET,LOS ANGELES,4230 E CESAR E CHAVEZ AVE,OW0012035
FA0043618,PANADERIA LOS REYES #2,LOS ANGELES,4501 YORK BLVD,OW0185459
FA0010938,DELIA'S RESTAURANT,LOS ANGELES,450 S WESTERN AVE # 103,OW0008463
FA0179996,TOUS LES JOURS,LOS ANGELES,370 E 2ND ST,OW0033414
FA0071265,SUBWAY SANDWICHES,LOS ANGELES,4800 SANTA MONICA BLVD,OW0121281
FA0013211,EUROPEAN BAKING,LOS ANGELES,4501 S ALAMEDA ST,OW0024780
FA0156022,EL BUCA,LOS ANGELES,1003 S HILL ST,OW0115435
FA0006801,CABANAS RESTAURANTE,LOS ANGELES,445 TOWNE AVE,OW0250253
FA0149820,FRED  JORDAN MISSION,LOS ANGELES,1242 E FLORENCE AVE,OW0017276
FA0257957,FLORENCE DONUTS,LOS ANGELES,4255 E CESAR E CHAVEZ AVE,OW0239676
FA0064117,JACK IN THE BOX #299,LOS ANGELES,8752 S SEPULVEDA BLVD # B,OW0021931
FA0244474,YOGURTLAND WESTCHESTER,LOS ANGELES,900 N VERMONT AVE,OW0023976
FA0035350,LITTLE CAESAR'S PIZZA #5901,LOS ANGELES,4055 W 3RD ST,OW0006860
FA0051588,THAI ORIGINAL BBQ,LOS ANGELES,4501 S ALAMEDA ST # 701,OW0130208
FA0059245,CARNICERIA LA GLORIA,LOS ANGELES,1522 N INDIANA ST,OW0007608
FA0167135,INDIANA 99 CENT STORE,LOS ANGELES,601 W 7TH ST,OW0248347
FA0056181,CHIPOTLE MEXICAN GRILL #04-1500,LOS ANGELES,300 W FLORENCE AVE,OW0183342
FA0255369,PERFECT DONUT LOUISIANA FRIED CHICKEN,LOS ANGELES,1900 AVENUE OF THE STARS STE A100,OW0009547
FA0177415,TRIMANA,LOS ANGELES,11400 W OLYMPIC BLVD,OW0125136
FA0017966,IL MORO RESTAURANT,LOS ANGELES,537 S WESTERN AVE G,OW0240847
FA0160154,MR COFFEE,LOS ANGELES,911 S HILL ST,OW0030039
FA0245874,THE STOKING FRAME,LOS ANGELES,6027 S COMPTON AVE,OW0235634
FA0068212,PANDA  EXPRESS,LOS ANGELES,6051 HOLLYWOOD BLVD # 105,OW0125111
FA0060783,DENISE'S MEAT MARKET,LOS ANGELES,11307 MISSISSIPPI AVE,OW0005871
FA0239318,SUSHI IKE,LOS ANGELES,1540 N EASTERN AVE,OW0026726
FA0160129,MJ CAFE,LOS ANGELES,7508 S COMPTON AVE,OW0024415
FA0159764,BURGER KING #12576,LOS ANGELES,5772 W PICO BLVD,OW0236145
FA0065462,LAS CHAMPAS,LOS ANGELES,400 S WESTERN AVE # 103,OW0106302
FA0043243,PAPER OR PLASTIK CAFE,LOS ANGELES,600 W 7TH ST STE 150,OW0031559
FA0239961,ANKO,LOS ANGELES,1807 W SUNSET BLVD,OW0013866
FA0071308,SUGARFISH,LOS ANGELES,7288 W SUNSET BLVD # 1A,OW0021139
FA0026813,HAPPY TOM'S BURGER,LOS ANGELES,2900 COLORADO BLVD,OW0183152
FA0068700,PINKBERRY,LOS ANGELES,6021 COMPTON AVE,OW0024347
FA0044442,POPEYES,LOS ANGELES,2932 1/2 N BEVERLY GLEN CIR,OW0240879
FA0177194,SSCM MARKET,LOS ANGELES,600 W 7TH ST,OW0230438
FA0070452,SHU,LOS ANGELES,8728 S WESTERN AVE,OW0004910
FA0245913,TOASTEA,LOS ANGELES,414 S WESTERN AVE STE #C,OW0033212
FA0226286,THE WAY FORWARD FOUNDATION,LOS ANGELES,10113 VENICE BLVD,OW0002045
FA0058509,BOBA BEAR,LOS ANGELES,4501 S ALAMEDA ST # #703,OW0128103
FA0048716,SMART & FINAL #330,LOS ANGELES,1532 W SUNSET BLVD,OW0010782
FA0061647,EL TEJANITO,LOS ANGELES,456 E 2ND ST,OW0236815
FA0164788,WOODCAT COFFEE BAR,LOS ANGELES,1061 S HILL ST,OW0003284
FA0038973,MEN OH,LOS ANGELES,252 W FLORENCE AVE,OW0024045
FA0240779,HILL GRILL,LOS ANGELES,112 E 58TH ST,OW0250272
FA0020653,LA ESPERANZA BAKERY,LOS ANGELES,8475 MELROSE PL,OW0236124
FA0040525,MI POBLANITA,LOS ANGELES,3300 W 6TH ST # 2,OW0003612
FA0257976,MANSUR GAVRIEL,LOS ANGELES,4153 W 3RD ST,OW0245301
FA0239933,HO MI BING,LOS ANGELES,4205 S BROADWAY ST,OW0184398
FA0071557,SWADESH MARKET,LOS ANGELES,8815 S SEPULVEDA BLVD,OW0124951
FA0251353,TORTILLERIA COATZINGO,LOS ANGELES,5867 S CENTRAL AVE,OW0008770
FA0178708,MENCHIE'S,LOS ANGELES,1650 N HILLHURST AVE,OW0024102
FA0159961,PANDA EXPRESS #2348,LOS ANGELES,7231 S WESTERN AVE,OW0040007
FA0009070,BEST FISH TACO IN ENSENADA,LOS ANGELES,6051 HOLLYWOOD BLVD STE 101,OW0038292
FA0061432,EL GUANAQUITO,LOS ANGELES,6051 HOLLYWOOD BLVD STE #104,OW0238382
FA0008946,MAXIM CHINESE FOOD,LOS ANGELES,1149 S HILL ST # AU130,OW0129805
FA0005449,AL WAZIR CHICKEN,LOS ANGELES,5867 S CENTRAL AVE #230,OW0249678
FA0242836,CILANTRO,LOS ANGELES,6124 WILSHIRE BLVD,OW0031523
FA0166695,FATBURGER #1171,LOS ANGELES,1617 EASTERN AVE,OW0027793
FA0257111,LYTE NUTRITION AND FITNESS,LOS ANGELES,6250 YORK BLVD,OW0185959
FA0066725,MCDONALD'S #3100,LOS ANGELES,5757 W CENTURY BLVD,OW0019845
FA0029933,JACK IN THE BOX #354,LOS ANGELES,3465 W 6TH ST STE 80,OW0011603
FA0025553,GOODIES TRIMANA,LOS ANGELES,5777 W CENTURY BLVD STE 104,OW0180380
FA0180603,CAFE CIELITO,LOS ANGELES,11315 S FIGUEROA ST #110,OW0128216
FA0028710,PLAZA CAFE,LOS ANGELES,3465 W 6TH ST # 160,OW0023944
FA0138792,WINGSTOP #672,LOS ANGELES,116 N ROBERTSON BLVD,OW0250288
FA0173618,ANTIQUE CAFE,LOS ANGELES,5725 YORK BLVD,OW0178564
FA0252353,BLUE BOTTLE COFFEE,LOS ANGELES,11955 W WASHINGTON BLVD STE 1,OW0116987
FA0066706,MCDONALD'S # 4117,LOS ANGELES,4624 HOLLYWOOD BLVD,OW0025713
FA0257995,WALL STREET PIZZA,LOS ANGELES,340 N MADISON AVE,OW0000830
FA0171487,HOMESTATE,LOS ANGELES,2961 E 4TH ST,OW0183082
FA0151261,P.A.T.H. KITCHEN,LOS ANGELES,6333 W 3RD ST # #326,OW0123209
FA0048959,STEPHANIE MINI MARKET,LOS ANGELES,801 S HOPE ST STE C,OW0020081
FA0003213,326 BEER AND WINE,LOS ANGELES,930 S ROBERTSON BLVD #A,OW0006504
FA0177110,JERSEY MIKE'S SUB,LOS ANGELES,111 N FAIRFAX AVE,OW0101684
FA0158111,SUSHI 101,LOS ANGELES,7315 S COMPTON AVE,OW0124874
FA0014298,CHAO KRUNG,LOS ANGELES,4711 S BROADWAY,OW0031753
FA0013051,EMY'S BURGER,LOS ANGELES,1438 N GOWER  BLDG 10 ST BOX 56,OW0036553
FA0138312,APPLE DONUT,LOS ANGELES,3655 W 3RD ST,OW0013584
FA0159879,FOOD AND BOUNTY,LOS ANGELES,3959 E WHITTIER BLVD,OW0013077
FA0032381,SEA ROYAL HOUSE,LOS ANGELES,501 N BRANNICK AVE,OW0016261
FA0018908,JIM'S BURGERS,LOS ANGELES,143 S ROBERTSON BLVD,OW0018171
FA0061598,EL SABROSO,LOS ANGELES,110 E 9TH ST # B-362,OW0027222
FA0025231,GEORGE TOWN CUPCAKE,LOS ANGELES,5581 W MANCHESTER AVE,OW0101374
FA0052169,THE MART CAFE,LOS ANGELES,3520 W 8TH ST,OW0024155
FA0064058,J SPOT COMEDY CLUB,LOS ANGELES,5482 E BEVERLY BLVD,OW0022747
FA0069393,RED GINSENG HOUSE,LOS ANGELES,8428 MELROSE PL STE #A,OW0035175
FA0029382,RUIZENOR,LOS ANGELES,2524 1/2 HYPERION AVE,OW0180446
FA0005543,ALFRED COFFEE & KITCHEN,LOS ANGELES,6801 HOLLYWOOD BLVD # 19010,OW0181175
FA0068477,PAZZAZ,LOS ANGELES,3785 WILSHIRE BLVD STE 22,OW0027537
FA0014124,CHADO TEA ROOM,LOS ANGELES,5170 HOLLYWOOD BLVD,OW0237158
FA0173691,EDIBLE ARRANGEMENTS-1003,LOS ANGELES,4738 YORK BLVD,OW0249537
FA0174526,BANGLUCK MARKET,LOS ANGELES,8744 W 3RD ST,OW0182071
FA0072979,TROY DRIVE IN #8,LOS ANGELES,8328 COMPTON AVE,OW0229442
FA0241192,SESAME MEDITERRANEAN - SOOMSOOM,LOS ANGELES,1824 W MANCHESTER AVE,OW0249811
FA0256948,JIM DANDY FRIED CHICKEN LLC,LOS ANGELES,633 W 5TH ST,OW0238186
FA0175521,69TH FLOOR BAR,LOS ANGELES,3100 EASTERN AVE,OW0007981
FA0257331,TAQUERIA RINCON TOLTECA,LOS ANGELES,1100 S HOPE ST,OW0024803
FA0257318,PRANK BAR,LOS ANGELES,4304 FLORAL DR,OW0245654
FA0242593,FAMILY MARKET,LOS ANGELES,9060 W PICO BLVD,OW0007717
FA0061944,EILAT BAKERY,LOS ANGELES,601 S ARDMORE AVE STE 100,OW0023481
FA0012035,BON SHABU,LOS ANGELES,266 S RAMPART BLVD,OW0035658
FA0251763,HEAVEN MARKET,LOS ANGELES,1119 S ROBERTSON BLVD,OW0012355
FA0016640,CARLYLE INN,LOS ANGELES,8700 W 3RD ST,OW0024816
FA0059230,AOC,LOS ANGELES,3464 E CESAR E CHAVEZ AVE,OW0026198
FA0057578,LITTLE CAESAR'S,LOS ANGELES,110 E 9TH ST AL23,OW0246237
FA0035344,FASHION BISTRO,LOS ANGELES,5176 HOLLYWOOD BLVD,OW0026857
FA0022654,SANAMLUANG CAFE,LOS ANGELES,4325 S VERMONT AVE,OW0022884
FA0047657,THE DONUT SHOP,LOS ANGELES,5144 E BEVERLY BLVD,OW0123816
FA0051891,EL DORADO EXPRESS,LOS ANGELES,534 N HOOVER ST,OW0105166
FA0252470,CAFECITO ORGANICO,LOS ANGELES,8389 W 3RD ST,OW0100741
FA0058950,MAGNOLIA BAKERY,LOS ANGELES,11301 W OLYMPIC BLVD # 104,OW0227245
FA0038125,HONEYMEE,LOS ANGELES,250 S ROSSMORE AVE,OW0037081
FA0175380,CAFE M,LOS ANGELES,633 W 5TH ST # 2FL,OW0122058
FA0150998,BARISTA SOCIETY,LOS ANGELES,2148 W SUNSET BLVD,OW0184239
FA0224970,ICY RUSH,LOS ANGELES,5875 S HOOPER AVE,OW0024408
FA0222393,LAS ISLITAS RESTAURANT,LOS ANGELES,3512 W 8TH ST 111,OW0020090
FA0021525,I LOVE BOBA,LOS ANGELES,3785 WILSHIRE BLVD STE 24,OW0034460
FA0156822,KASHIRA SUSHI AND RAMEN BAR,LOS ANGELES,2742 ROWENA AVE,OW0244571
FA0178505,MICHELANGEL0 RISTORANTE,LOS ANGELES,10817 VENICE BLVD,OW0124984
FA0066900,WEST LA INTERNATIONAL MARKET,LOS ANGELES,8811 S WESTERN AVE,OW0020579
FA0043536,SUPERIOR SUPER WAREHOUSE,LOS ANGELES,10821 VENICE BLVD,OW0039971
FA0035520,SHAWARMA LAND,LOS ANGELES,6333 W 3RD ST 20-02,OW0025717
FA0250454,BUCA DI BEPPO,LOS ANGELES,2501 E 4TH ST,OW0022605
FA0159997,SILVER MOON MARKET,LOS ANGELES,2635 HYPERION AVE,OW0249275
FA0070503,RAFIK'S UNOCAL 76,LOS ANGELES,633 W 5TH ST STE 70F,OW0246166
FA0045584,OBSERVATION DECK US BANK BUILDING,LOS ANGELES,6600 S HOOVER ST,OW0101793
FA0224977,NAVARRO MARKET,LOS ANGELES,1681 N EASTERN AVE,OW0245166
FA0067445,GRANNY'S DONUTS,LOS ANGELES,3807 WILSHIRE BLVD # 120,OW0243062
FA0026638,SHABU HYANG,LOS ANGELES,414 S WESTERN AVE STE S,OW0237633
FA0256610,SOL-LIP TOFU,LOS ANGELES,1665 S ROBERTSON BLVD,OW0026186
FA0252385,7-ELEVEN #19399,LOS ANGELES,6001 S HOOPER AVE,OW0035140
FA0138438,LA FUENTE RESTUARANT & BAKERY,LOS ANGELES,949 S FIGUEROA ST,OW0127812
FA0251200,MR. MASALA,LOS ANGELES,4323 FLORAL DR,OW0243655
FA0248697,FLORAL MARKET,LOS ANGELES,5183 HOLLYWOOD BLVD,OW0017898
FA0241839,SAPP COFFEE SHOP,LOS ANGELES,4407 S CENTRAL AVE,OW0028694
FA0047817,JACK IN THE BOX #287,LOS ANGELES,320 SUNSET AVE,OW0182530
FA0030887,GJUSTA,LOS ANGELES,180 S LA BREA AVE,OW0003187
FA0164467,SWEETGREEN LA BREA,LOS ANGELES,8152 W SUNSET BLVD,OW0021064
FA0257379,MCDONALD'S,LOS ANGELES,500 N HOOVER ST,OW0010961
FA0038335,99 AND GIFT SHOP,LOS ANGELES,2701 W 6TH ST,OW0236742
FA0004488,DOLLAR CITY,LOS ANGELES,170 N CHURCH LN,OW0250219
FA0176108,HOTEL ANGELENO CAFE,LOS ANGELES,410 E 2ND ST,OW0004266
FA0029460,ALOHA CAFE,LOS ANGELES,201 S LA BREA AVE,OW0000411
FA0005596,CAFE VERONA,LOS ANGELES,3510 W 8TH ST UNIT A,OW0249596
FA0012203,CREAMISTRY,LOS ANGELES,7651 S SAN PEDRO ST,OW0034866
FA0240691,QUICK STOP BURGERS #1,LOS ANGELES,800 N SEPULVEDA BLVD,OW0033938
FA0257915,BELAIR OIL INC,LOS ANGELES,143 S LA BREA AVE,OW0007449
FA0005171,THE SYCAMORE KITCHEN,LOS ANGELES,3417 W 6TH ST,OW0006894
FA0051785,MARI KIMBAP SHOP,LOS ANGELES,3407 W 6TH ST STE 101A,OW0100335
FA0257018,KUISHIMBO,LOS ANGELES,2134 W SUNSET BLVD,OW0101370
FA0032747,STARBUCKS #53657,LOS ANGELES,670 N SEPULVEDA BLVD,OW0022039
FA0257661,CHEVRON FOOD MART #1428,LOS ANGELES,5169 HOLLYWOOD BLVD,OW0014674
FA0014382,LACHA SOMTUM,LOS ANGELES,5120 RODEO RD,OW0021432
FA0037408,NEW PANDA BUFFET,LOS ANGELES,661 IMPERIAL ST,OW0002986
FA0041429,URBAN RADISH MARKET,LOS ANGELES,8522 LINCOLN BLVD,OW0245980
FA0137974,TOMPKINS SQUARE BAR & GRILL,LOS ANGELES,4045 E WHITTIER BLVD,OW0020273
FA0072720,WHITTIER MARKET,LOS ANGELES,5023 S CENTRAL AVE,OW0008817
FA0055078,TAM'S BURGER #7,LOS ANGELES,2930 COLORADO BLVD,OW0178528
FA0033168,PIZZA HUT #26218,LOS ANGELES,380 WORLD WAY,OW0013287
FA0044158,LAMILL COFFEE,LOS ANGELES,5654 W MANCHESTER AVE,OW0230633
FA0158866,PAPA JOHNS PIZZA,LOS ANGELES,7223 S COMPTON AVE,OW0237833
FA0252159,AMAPOLA DELI & MARKET,LOS ANGELES,4228 S AVALON BLVD,OW0107408
FA0006304,CORONADO MEAT MARKET,LOS ANGELES,151 N WESTERN AVE,OW0130701
FA0010013,THE BUN SHOP,LOS ANGELES,1918 W SUNSET BLVD,OW0031933
